MatchID,Date,Region,Team_A,Team_B,Map,A_ATK_ban,A_DEF_ban,B_ATK_ban,B_DEF_ban,A_P1,A_P2,A_P3,A_P4,A_P5,B_P1,B_P2,B_P3,B_P4,B_P5,ATK_team,Site,ATK_O1,ATK_O2,ATK_O3,ATK_O4,ATK_O5,DEF_O1,DEF_O2,DEF_O3,DEF_O4,DEF_O5,Winner,ATK_win
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,A,Bar/Cocktail,IQ,Thermite,Nomad,Thatcher,Montagne,Jager,Mute,Castle,Echo,Valkyrie,B,False
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,A,Kitchen,IQ,Thermite,Ash,Thatcher,Montagne,Lesion,Mute,Castle,Bandit,Valkyrie,A,True
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,A,Kitchen,IQ,Thermite,Buck,Thatcher,Montagne,Lesion,Mute,Castle,Bandit,Valkyrie,A,True
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,A,Bar/Cocktail,IQ,Thermite,Ash,Thatcher,Montagne,Jager,Mute,Castle,Lesion,Valkyrie,B,False
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,A,Reading/Fireplace,IQ,Thermite,Ash,Thatcher,Montagne,Jager,Mute,Castle,Lesion,Valkyrie,B,False
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,A,Kitchen,IQ,Thermite,Ash,Thatcher,Montagne,Jager,Smoke,Castle,Lesion,Valkyrie,A,True
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,B,Kitchen,Sledge,Thatcher,Twitch,Thermite,Nomad,Rook,Castle,Jager,Echo,Mute,B,True
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,B,Bar/Cocktail,Sledge,Thatcher,Capitao,Thermite,Nomad,Mute,Clash,Jager,Echo,Smoke,B,True
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,B,Bar/Cocktail,Sledge,Thatcher,Capitao,Thermite,Nomad,Mute,Kaid,Jager,Echo,Smoke,B,True
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,B,Reading/Fireplace,Sledge,Thatcher,Capitao,Thermite,Nomad,Pulse,Vigil,Mozzie,Echo,Mute,A,False
0001,2019-06-17,EU,PENTA,Natus Vincere,Kafe,Zofia,Mira,Hibana,Maestro,RevaN,ENEMY,Blas,SirBoss,Hungry,Doki,neLo,Saves,Kendrew,CTZN,B,Kitchen,Sledge,Thatcher,Capitao,Thermite,IQ,Valkyrie,Vigil,Jager,Echo,Smoke,B,True
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,A,Bar/Cocktail,Thatcher,Thermite,Capitao,Zofia,Gridlock,Smoke,Maestro,Pulse,Jager,Kaid,A,True
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,A,Kitchen,Thatcher,Thermite,Capitao,Zofia,Gridlock,Smoke,Maestro,Doc,Jager,Bandit,A,True
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,A,Fireplace/Mining,Thatcher,Thermite,Capitao,IQ,Gridlock,Kaid,Maestro,Valkyrie,Jager,Lesion,A,True
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,A,Bar/Cocktail,Thatcher,Thermite,Capitao,IQ,Gridlock,Smoke,Maestro,Pulse,Jager,Kaid,A,True
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,A,Kitchen,Thatcher,Thermite,Capitao,Zofia,Gridlock,Smoke,Maestro,Doc,Jager,Bandit,B,False
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,A,Reading/Fireplace,Thatcher,Thermite,Capitao,Zofia,Gridlock,Kaid,Maestro,Mute,Jager,Lesion,A,True
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,B,Kitchen,Thermite,Capitao,Thatcher,Zofia,IQ,Smoke,Lesion,Castle,Valkyrie,Jager,A,False
0002,2019-06-17,EU,G2 Esports,Mousesports,Kafe,Lion,Mira,Maverick,Echo,Pengu,Goga,Fabian,Kantoraketti,UUNO,Bounssi,jNSzkiy,Slebben,Gomfi,SHA77E,B,Bar/Cocktail,Thermite,Capitao,Thatcher,Zofia,IQ,Smoke,Maestro,Pulse,Valkyrie,Lesion,A,False
0003,2019-06-17,EU,LeStream Esport,Chaos Esports Club,Kafe,Dokkaebi,Mira,Montagne,Valkyrie,Hicks,Alphama,korey,risze,AceeZ,Vitoline,Kripps,Renuilz,Secretly,REDGROOVE,A,Bar/Cocktail,Capitao,Thermite,Buck,Zofia,Hibana,Maestro,Jager,Smoke,Mute,Lesion,B,False
0003,2019-06-17,EU,LeStream Esport,Chaos Esports Club,Kafe,Dokkaebi,Mira,Montagne,Valkyrie,Hicks,Alphama,korey,risze,AceeZ,Vitoline,Kripps,Renuilz,Secretly,REDGROOVE,A,Kitchen,Capitao,Thermite,Buck,Zofia,Hibana,Maestro,Bandit,Smoke,Castle,Lesion,B,False
0003,2019-06-17,EU,LeStream Esport,Chaos Esports Club,Kafe,Dokkaebi,Mira,Montagne,Valkyrie,Hicks,Alphama,korey,risze,AceeZ,Vitoline,Kripps,Renuilz,Secretly,REDGROOVE,A,Reading/Fireplace,Capitao,Thermite,Nomad,Zofia,Hibana,Maestro,Mute,Smoke,Pulse,Lesion,A,True
0003,2019-06-17,EU,LeStream Esport,Chaos Esports Club,Kafe,Dokkaebi,Mira,Montagne,Valkyrie,Hicks,Alphama,korey,risze,AceeZ,Vitoline,Kripps,Renuilz,Secretly,REDGROOVE,A,Bar/Cocktail,Capitao,Thermite,Thatcher,Zofia,Hibana,Maestro,Jager,Smoke,Mute,Lesion,A,True
